;"Temp Consigna clima";"Temp aigua retorn Clima";"Temp aigua impulsió Clima"
"Mi 18:10";55;25,4;26
"Mi 18:15";55;25;26
"Mi 18:20";55;25;26
"Mi 18:25";55;25;26
"Mi 18:30";55;25;26
"Mi 18:35";55;25;26
"Mi 18:40";55;25;26
"Mi 18:45";55;25;26
"Mi 18:50";55;25;26
"Mi 18:55";55;25;25
"Mi 19:00";55;25;25
"Mi 19:05";55;25;25
"Mi 19:10";55;25;25
"Mi 19:15";55;25;25
"Mi 19:20";55;25;25
"Mi 19:25";55;25;25
"Mi 19:30";55;25;25
"Mi 19:35";55;25;25
"Mi 19:40";55;24,8;25
"Mi 19:45";55;24;25
"Mi 19:50";55;24;25
"Mi 19:55";55;24;25
"Mi 20:00";55;24;25
"Mi 20:05";55;24;25
"Mi 20:10";55;24;25
"Mi 20:15";55;24;25
"Mi 20:20";55;24;25
"Mi 20:25";55;24;24
"Mi 20:30";55;24;24
"Mi 20:35";55;24;24
"Mi 20:40";55;24;24
"Mi 20:45";55;24;24
"Mi 20:50";55;24;24
"Mi 20:55";55;24;24
"Mi 21:00";55;24;24
"Mi 21:05";55;24;24
"Mi 21:10";55;24;24
"Mi 21:15";55;24;24
"Mi 21:20";55;24;24
"Mi 21:25";55;24;24
"Mi 21:30";55;23,4;24
"Mi 21:35";55;23,2;24
"Mi 21:40";55;23;24
"Mi 21:45";55;23;24
"Mi 21:50";55;23;24
"Mi 21:55";55;23;24
"Mi 22:00";55;23;24
"Mi 22:05";55;23;24
"Mi 22:10";55;23;23
"Mi 22:15";55;23;23
"Mi 22:20";55;23;23
"Mi 22:25";55;23;23
"Mi 22:30";55;23;23
"Mi 22:35";55;23;23
"Mi 22:40";55;23;23
"Mi 22:45";55;23;23
"Mi 22:50";55;23;23
"Mi 22:55";55;23;23
"Mi 23:00";55;23;23
"Mi 23:05";55;23;23
"Mi 23:10";55;22,8;23
"Mi 23:15";55;22,4;23
"Mi 23:20";55;22;23
"Mi 23:25";55;22;23
"Mi 23:30";55;22;23
"Mi 23:35";55;22;23
"Mi 23:40";55;22;23
"Mi 23:45";55;22;23
"Mi 23:50";55;22;22
"Mi 23:55";55;22;22
"Ju 00:00";55;22;22
"Ju 00:05";55;22;22
"Ju 00:10";55;22;22
"Ju 00:15";55;22;22
"Ju 00:20";55;22;22
"Ju 00:25";55;22;22
"Ju 00:30";55;22;22
"Ju 00:35";55;22;22
"Ju 00:40";55;22;22
"Ju 00:45";55;22;22
"Ju 00:50";55;22;22
"Ju 00:55";55;22;22
"Ju 01:00";55;22;22
"Ju 01:05";55;22;22
"Ju 01:10";55;22;22
"Ju 01:15";55;22;22
"Ju 01:20";55;22;22
"Ju 01:25";55;22;22
"Ju 01:30";55;22;22
"Ju 01:35";55;22;22
"Ju 01:40";55;22;22
"Ju 01:45";55;22;22
"Ju 01:50";55;22;22
"Ju 01:55";55;22;22
"Ju 02:00";55;22;22
"Ju 02:05";55;22;22
"Ju 02:10";55;22;22
"Ju 02:15";55;22;22
"Ju 02:20";55;22;22
"Ju 02:25";55;22;22
"Ju 02:30";55;22;22
"Ju 02:35";55;22;22
"Ju 02:40";55;22;22
"Ju 02:45";55;22;22
"Ju 02:50";55;22;22
"Ju 02:55";55;21,4;22
